show_id,director_id,actor_id
123,76,843
126,0,844
126,0,845
126,0,846
126,0,847
126,0,848
126,0,849
126,0,850
127,81,851
127,81,852
127,81,853
127,81,854
127,81,855
127,81,856
127,81,857
127,81,858
128,82,859
128,82,860
128,82,861
128,82,862
128,82,863
128,82,864
128,82,865
128,82,866
128,82,867
128,82,868
128,82,869
128,82,870
128,82,871
128,82,872
128,82,873
129,83,874
129,83,875
129,83,876
129,83,248
129,83,877
129,83,878
129,83,879
129,83,880
129,83,881
129,83,882
130,84,883
130,84,884
130,84,885
130,84,886
130,84,887
130,84,888
130,84,889
130,84,890
130,84,891
130,84,892
131,85,893
131,85,894
131,85,895
131,85,896
131,85,897
132,86,222
132,86,898
132,86,899
132,86,900
132,86,901
132,86,902
132,86,903
132,86,904
132,86,905
132,86,906
132,86,907
132,86,908
133,0,909
133,0,910
133,0,911
133,0,912
133,0,913
133,0,914
133,0,915
133,0,916
133,0,917
133,0,918
133,0,919
133,0,920
133,0,921
133,0,922
133,0,923
134,87,924
134,87,925
134,87,926
134,87,927
134,87,928
134,87,929
134,87,930
134,87,931
134,87,932
134,87,933
135,88,222
135,88,934
135,88,935
135,88,936
135,88,937
135,88,376
135,88,938
135,88,939
135,88,940
135,88,941
135,88,942
135,88,943
135,88,944
136,89,945
136,89,946
136,89,947
136,89,948
136,89,949
136,89,950
136,89,951
136,89,952
136,89,953
136,89,954
136,89,955
137,90,956
137,90,957
137,90,958
137,90,959
137,90,356
137,90,960
137,90,961
137,90,693
137,90,962
137,90,963
138,91,964
138,91,965
138,91,966
138,91,967
138,91,968
138,91,969
138,91,970
138,91,971
138,91,972
138,91,869
138,91,973
138,91,974
138,91,975
138,91,976
139,84,977
139,84,978
139,84,979
139,84,40
139,84,980
139,84,981
139,84,982
139,84,983
139,84,984
139,84,985
140,92,986
140,92,987
140,92,988
140,92,989
140,92,139
140,92,990
140,92,991
140,92,992
140,92,993
140,92,994
140,92,995
140,92,996
140,92,997
140,92,939
141,93,998
141,93,999
141,93,1000
141,93,1001
141,93,1002
141,93,1003
141,93,1004
142,94,1005
142,94,1006
142,94,1007
142,94,1008
142,94,1009
142,94,1010
142,94,1011
142,94,1012
143,95,1013
143,95,1014
143,95,374
143,95,1015
143,95,1016
143,95,1017
143,95,1018
143,95,1019
143,95,1020
143,95,1021
143,95,1022
143,95,1023
144,96,354
144,96,1024
144,96,1025
144,96,1026
144,96,1027
144,96,1028
144,96,1029
144,96,1030
145,97,1031
145,97,1032
145,97,1033
145,97,1034
145,97,1035
145,97,997
145,97,1036
145,97,1037
145,97,1038
145,97,1039
145,97,1040
145,97,1041
145,97,1042
146,98,1031
146,98,1032
146,98,997
146,98,1037
146,98,1036
146,98,1038
146,98,1034
146,98,1043
146,98,1044
146,98,1045
146,99,1031
146,99,1032
146,99,997
146,99,1037
146,99,1036
146,99,1038
146,99,1034
146,99,1043
146,99,1044
146,99,1045
147,100,1031
147,100,1032
147,100,1034
147,100,1046
147,100,1047
147,100,1048
147,100,1049
147,100,1050
147,100,1051
147,100,1052
149,101,1053
149,101,1054
149,101,1055
149,101,1056
149,101,1057
149,101,1058
149,101,1059
149,101,1060
150,102,1061
150,102,1062
150,102,1063
150,102,1064
150,102,1065
150,102,1066
150,102,1067
150,102,1068
150,102,1069
150,102,1070
150,102,1071
150,102,1072
151,103,1073
151,103,1074
151,103,1075
151,103,649
151,103,1076
151,103,1077
151,103,1078
151,103,1079
151,103,1080
151,103,1081
151,103,1082
151,103,1083
151,103,1084
151,103,1085
151,103,1086
151,103,1087
151,103,1088
152,104,1089
152,104,1090
152,104,1091
152,104,1092
152,104,1093
152,104,1094
152,104,1095
152,104,1096
152,105,1089
152,105,1090
152,105,1091
152,105,1092
152,105,1093
152,105,1094
152,105,1095
152,105,1096
153,106,1097
153,106,1098
153,106,1099
153,106,1100
153,106,1101
154,0,1102
154,0,1103
154,0,1104
154,0,1105
154,0,1106
155,0,1107
155,0,1108
155,0,1109
155,0,1110
155,0,1111
155,0,464
155,0,1112
155,0,1113
155,0,1114
155,0,1115
155,0,461
155,0,1116
155,0,527
155,0,1117
155,0,452
155,0,1118
155,0,455
155,0,1119
156,107,1120
156,107,1121
156,107,1122
156,107,1123
156,107,1124
156,107,1125
156,107,1126
156,107,1127
156,107,1128
156,107,1129
157,108,978
157,108,1130
157,108,1131
157,108,1132
157,108,1133
157,108,1134
157,108,1135
157,108,1136
157,108,1137
157,108,1138
157,108,1139
157,108,1140
157,108,1141
158,109,1142
158,109,1143
158,109,1144
158,109,1145
158,109,1146
158,109,1147
158,109,1148
158,109,1149
159,110,1150
159,110,1151
159,110,1152
159,110,1153
159,110,1154
159,110,1155
159,110,1156
159,110,1157
159,110,1158
159,110,1159
160,111,1160
160,111,1093
160,111,1161
160,111,1162
160,111,1163
160,111,1164
160,111,1165
160,111,1166
160,111,1167
160,111,1168
161,0,1169
161,0,1170
161,0,1171
161,0,1172
161,0,1173
161,0,1174
161,0,1175
161,0,1176
162,112,1177
162,112,874
162,112,1178
162,112,1179
162,112,1180
162,112,1181
162,112,1182
162,112,1183
162,112,1184
162,112,1185
162,112,1186
162,112,961
163,97,1187
163,97,1188
163,97,1189
163,97,1190
163,97,1191
163,97,1192
163,97,1193
163,97,1194
163,97,1195
163,97,1196
164,113,1197
164,113,1198
164,113,1199
164,113,1200
164,113,1201
164,113,1202
164,113,1203
164,113,1204
164,113,1152
164,113,875
164,113,1205
165,114,1206
165,114,1207
165,114,1208
165,114,1209
165,114,1210
165,114,1211
165,114,1212
165,114,1213
165,114,1214
165,114,1215
165,114,1216
165,114,1217
165,114,1218
165,114,1219
165,114,1220
166,0,1221
166,0,1222
166,0,1223
166,0,1224
166,0,1225
166,0,1226
166,0,1227
166,0,1228
166,0,1229
167,115,1230
167,115,1231
167,115,1232
167,115,1233
167,115,1234
167,115,1235
167,115,1236
167,115,986
167,115,1237
167,115,1238
168,116,1239
168,116,1240
168,116,60
168,116,1241
168,116,1242
168,116,1243
168,116,1244
168,116,1245
168,116,1246
168,116,1247
168,116,1248
168,117,1239
168,117,1240
168,117,60
168,117,1241
168,117,1242
168,117,1243
168,117,1244
168,117,1245
168,117,1246
168,117,1247
168,117,1248
169,118,200
169,118,1249
169,118,1250
169,118,1251
169,118,1252
169,118,1253
169,118,1254
169,118,1255
